Instruction,Opcode,Valid 64-bit,Valid 32-bit,Valid 16-bit,Feature Flags,Operand 1,Operand 2,Operand 3,Operand 4,Tuple Type,Description
"VPERMI2PS ymm1 {k1}{z},ymm2,ymm3/m256/m32bcst",EVEX.DDS.256.66.0F38.W0 77 /r,Valid,Valid,Invalid,AVX512VL AVX512F,"ModRM:reg (r, w)",EVEX.vvvv (r),ModRM:r/m (r),NA,Full Vector,Permute single-precision FP values from two tables in ymm3/m256/m32bcst and ymm2 using indexes in ymm1 and store the result in ymm1 using writemask k1.
"VPERMI2PS zmm1 {k1}{z},zmm2,zmm3/m512/m32bcst",EVEX.DDS.512.66.0F38.W0 77 /r,Valid,Valid,Invalid,AVX512F,"ModRM:reg (r, w)",EVEX.vvvv (r),ModRM:r/m (r),NA,Full Vector,Permute single-precision FP values from two tables in zmm3/m512/m32bcst and zmm2 using indices in zmm1 and store the result in zmm1 using writemask k1.
"VPERMI2PD xmm1 {k1}{z},xmm2,xmm3/m128/m64bcst",EVEX.DDS.128.66.0F38.W1 77 /r,Valid,Valid,Invalid,AVX512VL AVX512F,"ModRM:reg (r, w)",EVEX.vvvv (r),ModRM:r/m (r),NA,Full Vector,Permute double-precision FP values from two tables in xmm3/m128/m64bcst and xmm2 using indexes in xmm1 and store the result in xmm1 using writemask k1.
"VPERMI2PD ymm1 {k1}{z},ymm2,ymm3/m256/m64bcst",EVEX.DDS.256.66.0F38.W1 77 /r,Valid,Valid,Invalid,AVX512VL AVX512F,"ModRM:reg (r, w)",EVEX.vvvv (r),ModRM:r/m (r),NA,Full Vector,Permute double-precision FP values from two tables in ymm3/m256/m64bcst and ymm2 using indexes in ymm1 and store the result in ymm1 using writemask k1.
"VPERMI2PD zmm1 {k1}{z},zmm2,zmm3/m512/m64bcst",EVEX.DDS.512.66.0F38.W1 77 /r,Valid,Valid,Invalid,AVX512F,"ModRM:reg (r, w)",EVEX.vvvv (r),ModRM:r/m (r),NA,Full Vector,Permute double-precision FP values from two tables in zmm3/m512/m64bcst and zmm2 using indices in zmm1 and store the result in zmm1 using writemask k1.
"VPERMILPD xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F38.W0 0D /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Permute double-precision floating-point values in xmm2 using controls from xmm3/m128 and store result in xmm1."
"VPERMILPD ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F38.W0 0D /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Permute double-precision floating-point values in ymm2 using controls from ymm3/m256 and store result in ymm1."
"VPERMILPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.NDS.128.66.0F38.W1 0D /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute double-precision floating-point values in xmm2 using control from xmm3/m128/m64bcst and store the result in xmm1 using writemask k1."
"VPERMILPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F38.W1 0D /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute double-precision floating-point values in ymm2 using control from ymm3/m256/m64bcst and store the result in ymm1 using writemask k1."
"VPERMILPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F38.W1 0D /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute double-precision floating-point values in zmm2 using control from zmm3/m512/m64bcst and store the result in zmm1 using writemask k1."
"VPERMILPD xmm1, xmm2/m128, imm8","VEX.128.66.0F3A.W0 05 /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Permute double-precision floating-point values in xmm2/m128 using controls from imm8."
"VPERMILPD ymm1, ymm2/m256, imm8","VEX.256.66.0F3A.W0 05 /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Permute double-precision floating-point values in ymm2/m256 using controls from imm8."
"VPERMILPD xmm1 {k1}{z}, xmm2/m128/m64bcst, imm8","EVEX.128.66.0F3A.W1 05 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Full Vector","Permute double-precision floating-point values in xmm2/m128/m64bcst using controls from imm8 and store the result in xmm1 using writemask k1."
"VPERMILPD ymm1 {k1}{z}, ymm2/m256/m64bcst, imm8","EVEX.256.66.0F3A.W1 05 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Full Vector","Permute double-precision floating-point values in ymm2/m256/m64bcst using controls from imm8 and store the result in ymm1 using writemask k1."
"VPERMILPD zmm1 {k1}{z}, zmm2/m512/m64bcst, imm8","EVEX.512.66.0F3A.W1 05 /r ib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Full Vector","Permute double-precision floating-point values in zmm2/m512/m64bcst using controls from imm8 and store the result in zmm1 using writemask k1."
"VPERMILPS xmm1, xmm2, xmm3/m128","VEX.NDS.128.66.0F38.W0 0C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Permute single-precision floating-point values in xmm2 using controls from xmm3/m128 and store result in xmm1."
"VPERMILPS xmm1, xmm2/m128, imm8","VEX.128.66.0F3A.W0 04 /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Permute single-precision floating-point values in xmm2/m128 using controls from imm8 and store result in xmm1."
"VPERMILPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F38.W0 0C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Permute single-precision floating-point values in ymm2 using controls from ymm3/m256 and store result in ymm1."
"VPERMILPS ymm1, ymm2/m256, imm8","VEX.256.66.0F3A.W0 04 /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Permute single-precision floating-point values in ymm2/m256 using controls from imm8 and store result in ymm1."
"VPERMILPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.66.0F38.W0 0C /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute single-precision floating-point values xmm2 using control from xmm3/m128/m32bcst and store the result in xmm1 using writemask k1."
"VPERMILPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.66.0F38.W0 0C /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute single-precision floating-point values ymm2 using control from ymm3/m256/m32bcst and store the result in ymm1 using writemask k1."
"VPERMILPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.NDS.512.66.0F38.W0 0C /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute single-precision floating-point values zmm2 using control from zmm3/m512/m32bcst and store the result in zmm1 using writemask k1."
"VPERMILPS xmm1 {k1}{z}, xmm2/m128/m32bcst, imm8","EVEX.128.66.0F3A.W0 04 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Full Vector","Permute single-precision floating-point values xmm2/m128/m32bcst using controls from imm8 and store the result in xmm1 using writemask k1."
"VPERMILPS ymm1 {k1}{z}, ymm2/m256/m32bcst, imm8","EVEX.256.66.0F3A.W0 04 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Full Vector","Permute single-precision floating-point values ymm2/m256/m32bcst using controls from imm8 and store the result in ymm1 using writemask k1."
"VPERMILPS zmm1 {k1}{z}, zmm2/m512/m32bcst, imm8","EVEX.512.66.0F3A.W0 04 /r ib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Full Vector","Permute single-precision floating-point values zmm2/m512/m32bcst using controls from imm8 and store the result in zmm1 using writemask k1."
"VPERMPD ymm1, ymm2/m256, imm8","VEX.256.66.0F3A.W1 01 /r ib","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","Imm8","NA","NA","Permute double-precision floating-point elements in ymm2/m256 using indices in imm8 and store the result in ymm1."
"VPERMPD ymm1 {k1}{z}, ymm2/m256/m64bcst, imm8","EVEX.256.66.0F3A.W1 01 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","Imm8","NA","Full Vector","Permute double-precision floating-point elements in ymm2/m256/m64bcst using indexes in imm8 and store the result in ymm1 subject to writemask k1."
"VPERMPD zmm1 {k1}{z}, zmm2/m512/m64bcst, imm8","EVEX.512.66.0F3A.W1 01 /r ib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","Imm8","NA","Full Vector","Permute double-precision floating-point elements in zmm2/m512/m64bcst using indices in imm8 and store the result in zmm1 subject to writemask k1."
"VPERMPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F38.W1 16 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute double-precision floating-point elements in ymm3/m256/m64bcst using indexes in ymm2 and store the result in ymm1 subject to writemask k1."
"VPERMPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F38.W1 16 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute double-precision floating-point elements in zmm3/m512/m64bcst using indices in zmm2 and store the result in zmm1 subject to writemask k1."
"VPERMPS ymm1, ymm2, ymm3/m256","VEX.256.66.0F38.W0 16 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Permute single-precision floating-point elements in ymm3/m256 using indices in ymm2 and store the result in ymm1."
"VPERMPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.66.0F38.W0 16 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute single-precision floating-point elements in ymm3/m256/m32bcst using indexes in ymm2 and store the result in ymm1 subject to write mask k1."
"VPERMPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.NDS.512.66.0F38.W0 16 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute single-precision floating-point values in zmm3/m512/m32bcst using indices in zmm2 and store the result in zmm1 subject to write mask k1."
"VPERMQ ymm1, ymm2/m256, imm8","VEX.256.66.0F3A.W1 00 /r ib","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","Imm8","NA","NA","Permute qwords in ymm2/m256 using indices in imm8 and store the result in ymm1."
"VPERMQ ymm1 {k1}{z}, ymm2/m256/m64bcst, imm8","EVEX.256.66.0F3A.W1 00 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","Imm8","NA","Full Vector","Permute qwords in ymm2/m256/m64bcst using indexes in imm8 and store the result in ymm1."
"VPERMQ zmm1 {k1}{z}, zmm2/m512/m64bcst, imm8","EVEX.512.66.0F3A.W1 00 /r ib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","Imm8","NA","Full Vector","Permute qwords in zmm2/m512/m64bcst using indices in imm8 and store the result in zmm1."
"VPERMQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F38.W1 36 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute qwords in ymm3/m256/m64bcst using indexes in ymm2 and store the result in ymm1."
"VPERMQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F38.W1 36 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Permute qwords in zmm3/m512/m64bcst using indices in zmm2 and store the result in zmm1."
"VPERMT2W xmm1 {k1}{z}, xmm2, xmm3/m128","EVEX.DDS.128.66.0F38.W1 7D /r","Valid","Valid","Invalid","AVX512VL AVX512BW","ModRM:reg (r,w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Mem","Permute word integers from two tables in xmm3/m128 and xmm1 using indexes in xmm2 and store the result in xmm1 using writemask k1."
"VPERMT2W ymm1 {k1}{z}, ymm2, ymm3/m256","EVEX.DDS.256.66.0F38.W1 7D /r","Valid","Valid","Invalid","AVX512VL AVX512BW","ModRM:reg (r,w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Mem","Permute word integers from two tables in ymm3/m256 and ymm1 using indexes in ymm2 and store the result in ymm1 using writemask k1."
"VPERMT2W zmm1 {k1}{z}, zmm2, zmm3/m512","EVEX.DDS.512.66.0F38.W1 7D /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (r,w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Mem","Permute word integers from two tables in zmm3/m512 and zmm1 using indexes in zmm2 and store the result in zmm1 using writemask k1."
"VPERMT2D xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.DDS.128.66.0F38.W0 7E /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute double-words from two tables in xmm3/m128/m32bcst and xmm1 using indexes in xmm2 and store the result in xmm1 using writemask k1."
"VPERMT2D ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.DDS.256.66.0F38.W0 7E /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute double-words from two tables in ymm3/m256/m32bcst and ymm1 using indexes in ymm2 and store the result in ymm1 using writemask k1."
"VPERMT2D zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.DDS.512.66.0F38.W0 7E /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute double-words from two tables in zmm3/m512/m32bcst and zmm1 using indices in zmm2 and store the result in zmm1 using writemask k1."
"VPERMT2Q xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.DDS.128.66.0F38.W1 7E /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute quad-words from two tables in xmm3/m128/m64bcst and xmm1 using indexes in xmm2 and store the result in xmm1 using writemask k1."
"VPERMT2Q ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.DDS.256.66.0F38.W1 7E /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute quad-words from two tables in ymm3/m256/m64bcst and ymm1 using indexes in ymm2 and store the result in ymm1 using writemask k1."
"VPERMT2Q zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.DDS.512.66.0F38.W1 7E /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute quad-words from two tables in zmm3/m512/m64bcst and zmm1 using indices in zmm2 and store the result in zmm1 using writemask k1."
"VPERMT2PS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.DDS.128.66.0F38.W0 7F /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute single-precision FP values from two tables in xmm3/m128/m32bcst and xmm1 using indexes in xmm2 and store the result in xmm1 using writemask k1."
"VPERMT2PS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.DDS.256.66.0F38.W0 7F /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute single-precision FP values from two tables in ymm3/m256/m32bcst and ymm1 using indexes in ymm2 and store the result in ymm1 using writemask k1."
"VPERMT2PS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.DDS.512.66.0F38.W0 7F /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute single-precision FP values from two tables in zmm3/m512/m32bcst and zmm1 using indices in zmm2 and store the result in zmm1 using writemask k1."
"VPERMT2PD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.DDS.128.66.0F38.W1 7F /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute double-precision FP values from two tables in xmm3/m128/m64bcst and xmm1 using indexes in xmm2 and store the result in xmm1 using writemask k1."
"VPERMT2PD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.DDS.256.66.0F38.W1 7F /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute double-precision FP values from two tables in ymm3/m256/m64bcst and ymm1 using indexes in ymm2 and store the result in ymm1 using writemask k1."
"VPERMT2PD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.DDS.512.66.0F38.W1 7F /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (r, w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full","Permute double-precision FP values from two tables in zmm3/m512/m64bcst and zmm1 using indices in zmm2 and store the result in zmm1 using writemask k1.VPERMT2W/D/Q/PS/PDâ€”Full Permute from Two Tables Overwriting one Table"
"VPEXPANDD xmm1 {k1}{z}, xmm2/m128","EVEX.128.66.0F38.W0 89 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Expand packed double-word integer values from xmm2/m128 to xmm1 using writemask k1."
"VPEXPANDD ymm1 {k1}{z}, ymm2/m256","EVEX.256.66.0F38.W0 89 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Expand packed double-word integer values from ymm2/m256 to ymm1 using writemask k1."
"VPEXPANDD zmm1 {k1}{z}, zmm2/m512","EVEX.512.66.0F38.W0 89 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Expand packed double-word integer values from zmm2/m512 to zmm1 using writemask k1."
"VPEXPANDQ xmm1 {k1}{z}, xmm2/m128","EVEX.128.66.0F38.W1 89 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Expand packed quad-word integer values from xmm2/m128 to xmm1 using writemask k1."
"VPEXPANDQ ymm1 {k1}{z}, ymm2/m256","EVEX.256.66.0F38.W1 89 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Expand packed quad-word integer values from ymm2/m256 to ymm1 using writemask k1."
"VPEXPANDQ zmm1 {k1}{z}, zmm2/m512","EVEX.512.66.0F38.W1 89 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Expand packed quad-word integer values from zmm2/m512 to zmm1 using writemask k1."
"VPGATHERDD xmm1 {k1}, vm32x","EVEX.128.66.0F38.W0 90 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed dword indices, gather dword values from memory using writemask k1 for merging-masking."
"VPGATHERDD ymm1 {k1}, vm32y","EVEX.256.66.0F38.W0 90 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed dword indices, gather dword values from memory using writemask k1 for merging-masking."
"VPGATHERDD zmm1 {k1}, vm32z","EVEX.512.66.0F38.W0 90 /vsib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed dword indices, gather dword values from memory using writemask k1 for merging-masking."
"VPGATHERDQ xmm1 {k1}, vm32x","EVEX.128.66.0F38.W1 90 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed dword indices, gather quadword values from memory using writemask k1 for merging-masking."
"VPGATHERDQ ymm1 {k1}, vm32x","EVEX.256.66.0F38.W1 90 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed dword indices, gather quadword values from memory using writemask k1 for merging-masking."
"VPGATHERDQ zmm1 {k1}, vm32y","EVEX.512.66.0F38.W1 90 /vsib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed dword indices, gather quadword values from memory using writemask k1 for merging-masking."
"VPGATHERDD xmm1, vm32x, xmm2","VEX.DDS.128.66.0F38.W0 90 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using dword indices specified in vm32x, gather dword val-ues from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
"VPGATHERQD xmm1, vm64x, xmm2","VEX.DDS.128.66.0F38.W0 91 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using qword indices specified in vm64x, gather dword val-ues from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
"VPGATHERDD ymm1, vm32y, ymm2","VEX.DDS.256.66.0F38.W0 90 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using dword indices specified in vm32y, gather dword from memory conditioned on mask specified by ymm2. Conditionally gathered elements are merged into ymm1."
"VPGATHERQD xmm1, vm64y, xmm2","VEX.DDS.256.66.0F38.W0 91 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using qword indices specified in vm64y, gather dword val-ues from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
"VPGATHERDQ xmm1, vm32x, xmm2","VEX.DDS.128.66.0F38.W1 90 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using dword indices specified in vm32x, gather qword val-ues from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
"VPGATHERQQ xmm1, vm64x, xmm2","VEX.DDS.128.66.0F38.W1 91 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using qword indices specified in vm64x, gather qword val-ues from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
"VPGATHERDQ ymm1, vm32x, ymm2","VEX.DDS.256.66.0F38.W1 90 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using dword indices specified in vm32x, gather qword val-ues from memory conditioned on mask specified by ymm2. Conditionally gathered elements are merged into ymm1."
"VPGATHERQQ ymm1, vm64y, ymm2","VEX.DDS.256.66.0F38.W1 91 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r,w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","VEX.vvvv (r, w)","NA","","Using qword indices specified in vm64y, gather qword val-ues from memory conditioned on mask specified by ymm2. Conditionally gathered elements are merged into ymm1."
"VPGATHERQD xmm1 {k1}, vm64x","EVEX.128.66.0F38.W0 91 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed qword indices, gather dword values from memory using writemask k1 for merging-masking."
"VPGATHERQD xmm1 {k1}, vm64y","EVEX.256.66.0F38.W0 91 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed qword indices, gather dword values from memory using writemask k1 for merging-masking."
"VPGATHERQD ymm1 {k1}, vm64z","EVEX.512.66.0F38.W0 91 /vsib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed qword indices, gather dword values from memory using writemask k1 for merging-masking."
"VPGATHERQQ xmm1 {k1}, vm64x","EVEX.128.66.0F38.W1 91 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed qword indices, gather quadword values from memory using writemask k1 for merging-masking."
"VPGATHERQQ ymm1 {k1}, vm64y","EVEX.256.66.0F38.W1 91 /vsib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed qword indices, gather quadword values from memory using writemask k1 for merging-masking."
"VPGATHERQQ zmm1 {k1}, vm64z","EVEX.512.66.0F38.W1 91 /vsib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","BaseReg (R): VSIB:base, VectorReg(R): VSIB:index","NA","NA","Tuple1 Scalar","Using signed qword indices, gather quadword values from memory using writemask k1 for merging-masking."
"VPLZCNTD xmm1 {k1}{z}, xmm2/m128/m32bcst","EVEX.128.66.0F38.W0 44 /r","Valid","Valid","Invalid","AVX512VL AVX512CD","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Full Vector","Count the number of leading zero bits in each dword element of xmm2/m128/m32bcst using writemask k1."
